Sample in Buffer,Sample in Window,TRIGGER,design_1_i/axis_data_fifo_0_m_axis_tvalid,design_1_i/sticky_bit_0_signal_out,design_1_i/axis_data_fifo_0_m_axis_tdata[31:0],design_1_i/util_vector_logic_0_Res
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
392,392,0,1,1,02510109,1
393,393,0,1,1,0254ffdb,1
394,394,0,1,1,01a1feee,1
395,395,0,1,1,0207fe73,1
396,396,0,1,1,ffbc020c,1
397,397,0,1,1,010f01a5,1
398,398,0,1,1,00af00c0,1
399,399,0,1,1,0298ffeb,1
400,400,0,1,1,fdef0152,1
401,401,0,1,1,ffb1020a,1
402,402,0,1,1,ffcc0115,1
403,403,0,1,1,02e300f3,1
404,404,0,1,1,fd88fe67,1
405,405,0,1,1,fd900092,1
406,406,0,1,1,fdc40090,1
407,407,0,1,1,00b802a0,1
408,408,0,1,1,0033fd18,1
409,409,0,1,1,fed6fde2,1
410,410,0,1,1,fe79fdcd,1
411,411,0,1,1,ff030060,1
412,412,0,1,1,01d6fec5,1
413,413,0,1,1,012afe31,1
414,414,0,1,1,0054fe59,1
415,415,0,1,1,0078ff82,1
416,416,0,1,1,0232008f,1
417,417,0,1,1,0269ffc1,1
418,418,0,1,1,0102fe93,1
419,419,0,1,1,00b5ff1c,1
420,420,0,1,1,ffe2026b,1
421,421,0,1,1,01540246,1
422,422,0,1,1,01a000ca,1
423,423,0,1,1,02e70005,1
424,424,0,1,1,fd800097,1
425,425,0,1,1,feb1022d,1
426,426,0,1,1,ff7301a4,1
427,427,0,1,1,01ee01fc,1
428,428,0,1,1,feb3fe1a,1
429,429,0,1,1,fde4ffac,1
430,430,0,1,1,fe51fffb,1
431,431,0,1,1,003101dc,1
432,432,0,1,1,004efda0,1
433,433,0,1,1,ff13fe62,1
434,434,0,1,1,fe80fec4,1
435,435,0,1,1,ff31013a,1
436,436,0,1,1,0251fefd,1
437,437,0,1,1,010ffe27,1
438,438,0,1,1,0007fde2,1
439,439,0,1,1,ff24ff3d,1
440,440,0,1,1,01cf0177,1
441,441,0,1,1,0259fffb,1
442,442,0,1,1,0187fef2,1
443,443,0,1,1,0137fec1,1
444,444,0,1,1,ff4c022f,1
445,445,0,1,1,00fc01f8,1
446,446,0,1,1,010100e7,1
447,447,0,1,1,022b0057,1
448,448,0,1,1,fddd0039,1
449,449,0,1,1,ff2601f7,1
450,450,0,1,1,ffcd0143,1
451,451,0,1,1,0155015c,1
452,452,0,1,1,ff02fe4b,1
453,453,0,1,1,fe09ffd5,1
454,454,0,1,1,fe32007f,1
455,455,0,1,1,0027019e,1
456,456,0,1,1,0036fdfc,1
457,457,0,1,1,fefbfe52,1
458,458,0,1,1,fde1fe9a,1
459,459,0,1,1,ff5400c2,1
460,460,0,1,1,0208ff14,1
461,461,0,1,1,018efe19,1
462,462,0,1,1,fff9fd4b,1
463,463,0,1,1,ffadff38,1
464,464,0,1,1,01560115,1
465,465,0,1,1,021a0087,1
466,466,0,1,1,0173fecd,1
467,467,0,1,1,0110ff50,1
468,468,0,1,1,ffb301db,1
469,469,0,1,1,00f30221,1
470,470,0,1,1,018b0075,1
471,471,0,1,1,0262ffcf,1
472,472,0,1,1,fe0300aa,1
473,473,0,1,1,fee1022a,1
474,474,0,1,1,001301b9,1
475,475,0,1,1,025201bb,1
476,476,0,1,1,fe64fe1c,1
477,477,0,1,1,fd95ff8c,1
478,478,0,1,1,fd49ffeb,1
479,479,0,1,1,ffc802ce,1
480,480,0,1,1,0091fdec,1
481,481,0,1,1,ffa0fe2d,1
482,482,0,1,1,ff01fd74,1
483,483,0,1,1,fee100a4,1
484,484,0,1,1,01b6fedd,1
485,485,0,1,1,0131fe86,1
486,486,0,1,1,00d3fd80,1
487,487,0,1,1,ffafffb9,1
488,488,0,1,1,024d00f9,1
489,489,0,1,1,02400043,1
490,490,0,1,1,026eff28,1
491,491,0,1,1,0131ff61,1
492,492,0,1,1,ff7c025d,1
493,493,0,1,1,00c902c9,1
494,494,0,1,1,016f01ad,1
495,495,0,1,1,0227014e,1
496,496,0,1,1,fdc20025,1
497,497,0,1,1,fdfd0169,1
498,498,0,1,1,fec1013b,1
499,499,0,1,1,0052022c,1
500,500,0,1,1,fe71fe2d,1
501,501,0,1,1,fe25ff56,1
502,502,0,1,1,fe4fff13,1
503,503,0,1,1,ff5a01d0,1
504,504,0,1,1,009ffd3b,1
505,505,0,1,1,ff8bfdfe,1
506,506,0,1,1,ffcafdde,1
507,507,0,1,1,fef40057,1
508,508,0,1,1,030afef2,1
509,509,0,1,1,021afe8f,1
510,510,0,1,1,01d8fe23,1
511,511,0,1,1,0008ff6c,1
512,512,0,1,1,021e01c0,1
513,513,0,1,1,0223015e,1
514,514,0,1,1,01be00f1,1
515,515,0,1,1,00e100a1,1
516,516,0,1,1,ff6f024b,1
517,517,0,1,1,fff102a2,1
518,518,0,1,1,ffb2012b,1
519,519,0,1,1,0013012e,1
520,520,0,1,1,fdf60039,1
521,521,0,1,1,fdfb010f,1
522,522,0,1,1,fede0003,1
523,523,0,1,1,ffd400f0,1
524,524,0,1,1,ff0afe4a,1
525,525,0,1,1,fe2fff37,1
526,526,0,1,1,ff38fecc,1
527,527,0,1,1,ff8b007a,1
528,528,0,1,1,013bfe1b,1
529,529,0,1,1,ffcbfe0f,1
530,530,0,1,1,006efe68,1
531,531,0,1,1,002d0020,1
532,532,0,1,1,023f001c,1
533,533,0,1,1,01c5ff59,1
534,534,0,1,1,0152ff78,1
535,535,0,1,1,004200e7,1
536,536,0,1,1,011901f6,1
537,537,0,1,1,00fc0156,1
538,538,0,1,1,00c90052,1
539,539,0,1,1,ffa40081,1
540,540,0,1,1,ff2b01c3,1
541,541,0,1,1,ff7d014f,1
542,542,0,1,1,001f001c,1
543,543,0,1,1,ffe0000f,1
544,544,0,1,1,fdc4005b,1
545,545,0,1,1,fea000b9,1
546,546,0,1,1,ffddfff6,1
547,547,0,1,1,0089004d,1
548,548,0,1,1,feb4fdea,1
549,549,0,1,1,feabff22,1
550,550,0,1,1,ffcaff4f,1
551,551,0,1,1,003100fe,1
552,552,0,1,1,0155fe39,1
553,553,0,1,1,001cfe56,1
554,554,0,1,1,006eff2f,1
555,555,0,1,1,ffdb00c8,1
556,556,0,1,1,01f40025,1
557,557,0,1,1,0172ff52,1
558,558,0,1,1,007dff84,1
559,559,0,1,1,ff8300db,1
560,560,0,1,1,00ac01a8,1
561,561,0,1,1,01180125,1
562,562,0,1,1,00aafff7,1
563,563,0,1,1,ff8c003b,1
564,564,0,1,1,feca013b,1
565,565,0,1,1,ff8c0160,1
566,566,0,1,1,0084ffe8,1
567,567,0,1,1,0024ffea,1
568,568,0,1,1,fe34ff38,1
569,569,0,1,1,fe790038,1
570,570,0,1,1,0035000f,1
571,571,0,1,1,004100b4,1
572,572,0,1,1,ffeffe85,1
573,573,0,1,1,ff81fed5,1
574,574,0,1,1,002bffc8,1
575,575,0,1,1,006b00d2,1
576,576,0,1,1,00b1fe78,1
577,577,0,1,1,0089ff14,1
578,578,0,1,1,003fff8a,1
579,579,0,1,1,ff980192,1
580,580,0,1,1,01fbffa7,1
581,581,0,1,1,0134fff6,1
582,582,0,1,1,007dffc1,1
583,583,0,1,1,fed300ea,1
584,584,0,1,1,0118012d,1
585,585,0,1,1,00930147,1
586,586,0,1,1,00900040,1
587,587,0,1,1,fee40011,1
588,588,0,1,1,ff9f0130,1
589,589,0,1,1,ff6e00e1,1
590,590,0,1,1,0006ffd4,1
591,591,0,1,1,ff64ff59,1
592,592,0,1,1,fede0019,1
593,593,0,1,1,ff27007e,1
594,594,0,1,1,004fffd7,1
595,595,0,1,1,00a9ffea,1
596,596,0,1,1,ff82fef4,1
597,597,0,1,1,ff4affb5,1
598,598,0,1,1,001effca,1
599,599,0,1,1,005200dd,1
600,600,0,1,1,00e5fe97,1
601,601,0,1,1,ffdeff4a,1
602,602,0,1,1,0049ffa7,1
603,603,0,1,1,ff7e00fd,1
604,604,0,1,1,0220005b,1
605,605,0,1,1,00bdffd8,1
606,606,0,1,1,009affcb,1
607,607,0,1,1,ff0400a8,1
608,608,0,1,1,00db01b3,1
609,609,0,1,1,000300b1,1
610,610,0,1,1,0044ffbd,1
611,611,0,1,1,fed7ffd2,1
612,612,0,1,1,ff4801a0,1
613,613,0,1,1,ff790084,1
614,614,0,1,1,0076ff7a,1
615,615,0,1,1,ff93ff3f,1
616,616,0,1,1,fe0f0056,1
617,617,0,1,1,ff000052,1
618,618,0,1,1,00db001b,1
619,619,0,1,1,009effc1,1
620,620,0,1,1,ff11fe11,1
621,621,0,1,1,ff2fff01,1
622,622,0,1,1,00650007,1
623,623,0,1,1,005600e5,1
624,624,0,1,1,0155fe8e,1
625,625,0,1,1,0047fee2,1
626,626,0,1,1,009f0016,1
627,627,0,1,1,ff950132,1
628,628,0,1,1,01930066,1
629,629,0,1,1,00dffffd,1
630,630,0,1,1,002f0077,1
